Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
57,Koy Detmer,PHI,31,,16,1,0-1-0,18,40,45,207,0,0,2,5,6,31,5.2,2.9,11.5,12.9,40.3,2,16,4.8,4.55,2.4,,
58,Jamie Martin,STL,34,,1,0,,16,30,53.3,188,0,0,0,0,8,26,6.3,6.3,11.8,188,72.6,2,6,6.3,5.69,5.69,,
59,Jim Sorgi,IND,24,,4,0,,17,29,58.6,175,2,6.9,0,0,6,71,6,7.4,10.3,43.8,99.1,1,8,3.3,5.57,6.9,,
60,John Navarre,ARI,24,,1,1,0-1-0,18,40,45,168,1,2.5,4,10,6,33,4.2,0.2,9.3,168,25.8,1,8,2.4,3.9,0,,
61,Jeff Blake,PHI,34,,3,0,,18,37,48.6,126,1,2.7,1,2.7,8,21,3.4,2.7,7,42,54.6,2,17,5.1,2.79,2.15,,
62,Doug Pederson,GNB,36,,4,0,,11,23,47.8,120,0,0,2,8.7,5,24,5.2,1.3,10.9,30,27.4,0,0,0,5.22,1.3,,
63,Drew Henson,DAL,24,,7,1,1-0-0,10,18,55.6,78,1,5.6,1,5.6,7,16,4.3,2.9,7.8,11.1,61.8,2,26,10,2.6,1.35,,
64,Mike McMahon,DET,25,,1,0,,11,15,73.3,77,0,0,1,6.7,4,19,5.1,2.1,7,77,56.8,1,12,6.3,4.06,1.25,,
65,Doug Johnson,TEN,27,,2,0,,6,12,50,68,0,0,0,0,2,33,5.7,5.7,11.3,34,67.4,1,6,7.7,4.77,4.77,,
66,Brooks Bollinger,NYJ,25,,1,0,,5,9,55.6,60,0,0,0,0,2,26,6.7,6.7,12,60,76.2,1,8,10,5.2,5.2,,
67,Cody Pickett,SFO,24,,1,0,,4,10,40,55,0,0,2,20,4,18,5.5,-3.5,13.8,55,18.7,2,14,16.7,3.42,-4.08,,
68,Rohan Davey,NWE,26,,4,0,,4,10,40,54,0,0,0,0,4,20,5.4,5.4,13.5,13.5,57.9,0,0,0,5.4,5.4,,
69,Marty Booker,MIA,28,WR,15,15,,1,1,100,48,0,0,0,0,1,48,48,48,48,3.2,118.7,0,0,0,48,48,,
